timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total
20231010T0900,19.320246,0
20231010T1000,21.600245,0
20231010T1100,23.480246,0
20231010T1200,25.020245,0
20231010T1300,25.740246,0
20231010T1400,26.010244,0
20231010T1500,25.680244,0
20231010T1600,24.300245,0
20231010T1700,21.260244,0
20231010T1800,17.970245,0
20231010T1900,14.880245,0
20231010T2000,13.660245,0
20231010T2100,13.000245,0
20231010T2200,13.000245,0
20231010T2300,12.410245,0
20231011T0000,11.790245,0
20231011T0100,11.180245,0
20231011T0200,10.550245,0
20231011T0300,9.990245,0
20231011T0400,9.680245,0
20231011T0500,9.800245,0
20231011T0600,9.840245,0
20231011T0700,12.270246,0
20231011T0800,16.290245,0
20231011T0900,19.470245,0
20231011T1000,22.140245,0
20231011T1100,24.090246,0
20231011T1200,25.430244,0
20231011T1300,26.140245,0
20231011T1400,26.490246,0
20231011T1500,26.190245,0
20231011T1600,25.490246,0
20231011T1700,22.470245,0
20231011T1800,19.200245,0
20231011T1900,16.820246,0
20231011T2000,15.940246,0
20231011T2100,15.320246,0
20231011T2200,14.980246,0
20231011T2300,14.500245,0
20231012T0000,13.840245,0
20231012T0100,13.390245,0
20231012T0200,13.050245,0
20231012T0300,13.050245,0
20231012T0400,12.740245,0
20231012T0500,12.380245,0
20231012T0600,12.400246,0
20231012T0700,14.630245,0
20231012T0800,17.890245,0
20231012T0900,20.540245,0
20231012T1000,22.840246,0
20231012T1100,24.780245,0
20231012T1200,26.190245,0
20231012T1300,26.470245,0
20231012T1400,26.300245,0
20231012T1500,25.850245,0
20231012T1600,24.250246,0
20231012T1700,21.210245,0
20231012T1800,19.490246,0
20231012T1900,18.610245,0
20231012T2000,17.720245,0
20231012T2100,17.250246,0
20231012T2200,17.340246,0
20231012T2300,16.160246,0
20231013T0000,15.350245,0
20231013T0100,14.190246,0
20231013T0200,13.300245,0
20231013T0300,12.600245,0
20231013T0400,12.460245,0
20231013T0500,12.360246,0
20231013T0600,12.050245,0
20231013T0700,13.980246,0
20231013T0800,17.560246,0
20231013T0900,20.760244,0
20231013T1000,23.570246,0
20231013T1100,25.510244,0
20231013T1200,26.840246,0
20231013T1300,27.690245,0
20231013T1400,28.120245,0
20231013T1500,27.660246,0
20231013T1600,26.000246,0
20231013T1700,23.060246,0
20231013T1800,21.370245,0
20231013T1900,21.150246,0
20231013T2000,21.590246,0
20231013T2100,21.680244,0
20231013T2200,22.440245,0
20231013T2300,22.380245,0
20231014T0000,22.030245,0
20231014T0100,20.990246,0
20231014T0200,20.320246,0
20231014T0300,19.600245,0
20231014T0400,19.150246,0.1
20231014T0500,18.580246,0.2
20231014T0600,17.970245,0.2
20231014T0700,17.910246,0.1
20231014T0800,18.190245,0.3
20231014T0900,18.560246,0.2
20231014T1000,18.570246,1.3
20231014T1100,16.660246,2.4
20231014T1200,16.280245,0.6
20231014T1300,15.710245,0.3
20231014T1400,14.720245,0.3
20231014T1500,14.110246,0
20231014T1600,13.700245,0
20231014T1700,12.950245,0
20231014T1800,12.410245,0
20231014T1900,11.910245,0
20231014T2000,11.680245,0
20231014T2100,10.940246,0
20231014T2200,10.270246,0
20231014T2300,10.550245,0
20231015T0000,10.3102455,0
20231015T0100,10.410245,0
20231015T0200,10.610246,0
20231015T0300,10.350245,0.1
20231015T0400,10.010245,0.1
20231015T0500,10.360246,0
20231015T0600,10.200245,0.1
20231015T0700,10.350245,0
20231015T0800,11.250245,0
20231015T0900,11.990245,0
20231015T1000,12.670245,0
20231015T1100,13.170245,0
20231015T1200,13.3102455,0
20231015T1300,12.8102455,0.1
20231015T1400,13.240245,0
20231015T1500,13.030245,0
20231015T1600,12.0602455,0
20231015T1700,9.370245,0
20231015T1800,8.120246,0
20231015T1900,6.940245,0
20231015T2000,6.4702454,0
20231015T2100,6.190245,0
20231015T2200,5.1602454,0
20231015T2300,5.0602455,0
20231016T0000,4.920245,0
20231016T0100,4.3302455,0
20231016T0200,3.9902453,0
20231016T0300,3.9102454,0
20231016T0400,3.4802456,0
20231016T0500,3.0502453,0
20231016T0600,2.6502452,0
20231016T0700,4.5102453,0
20231016T0800,6.7802453,0
20231016T0900,8.830245,0
20231016T1000,10.620245,0
20231016T1100,12.270246,0
20231016T1200,13.380245,0
20231016T1300,14.150246,0
20231016T1400,14.510245,0
20231016T1500,14.230246,0
20231016T1600,12.340245,0
20231016T1700,9.480246,0
20231016T1800,8.410246,0
20231016T1900,7.360245,0
20231016T2000,7.1002455,0
20231016T2100,6.0302453,0
20231016T2200,5.040245,0
20231016T2300,4.8402452,0
20231017T0000,5.0602455,0
20231017T0100,4.610245,0
20231017T0200,4.4502454,0
20231017T0300,4.3102455,0
20231017T0400,3.9902453,0
20231017T0500,3.5302453,0
20231017T0600,3.5902452,0
20231017T0700,5.150245,0
20231017T0800,7.420245,0
20231017T0900,9.120245,0
20231017T1000,10.350245,0
20231017T1100,12.120245,0
20231017T1200,13.5602455,0
20231017T1300,14.540245,0
20231017T1400,15.250245,0
20231017T1500,15.180245,0
20231017T1600,13.020246,0
20231017T1700,10.530245,0
20231017T1800,9.160245,0
20231017T1900,8.640245,0
20231017T2000,8.080246,0
20231017T2100,7.460245,0
20231017T2200,7.500245,0
20231017T2300,7.250245,0
20231018T0000,7.2802453,0
20231018T0100,7.3302455,0
20231018T0200,7.380245,0
20231018T0300,7.7802453,0
20231018T0400,7.940245,0
20231018T0500,8.380245,0
20231018T0600,8.090245,0
20231018T0700,9.070246,0
20231018T0800,10.020246,0
20231018T0900,10.340245,0
20231018T1000,11.0602455,0
20231018T1100,11.980246,0
20231018T1200,13.150246,0
20231018T1300,13.250245,0
20231018T1400,13.160245,0.1
20231018T1500,12.710245,0.2
20231018T1600,12.420245,0
20231018T1700,12.440246,0
20231018T1800,11.750245,0
20231018T1900,11.770246,0.2
20231018T2000,11.600245,0.3
20231018T2100,11.700245,0.6
20231018T2200,12.190246,0.5
20231018T2300,12.110246,0.5
20231019T0000,12.150246,0.2
20231019T0100,12.630245,0
20231019T0200,12.870245,0
20231019T0300,12.630245,0
20231019T0400,12.320246,0
20231019T0500,12.020246,0
20231019T0600,11.860246,0
20231019T0700,12.190246,0
20231019T0800,13.250245,0.3
20231019T0900,13.8102455,0.2
20231019T1000,14.880245,0.1
20231019T1100,16.120245,0.2
20231019T1200,16.170246,0.7
20231019T1300,16.560246,1
20231019T1400,16.750246,0.7
20231019T1500,16.810246,0.1
20231019T1600,16.010246,0
20231019T1700,15.190246,0
20231019T1800,14.920245,0
20231019T1900,14.890245,0.2
20231019T2000,14.900246,0
20231019T2100,14.540245,0
20231019T2200,14.770246,0.2
20231019T2300,14.410245,0.3
20231020T0000,14.260245,0.3
20231020T0100,14.010245,0.2
20231020T0200,13.920245,0.5
20231020T0300,14.150246,0.5
20231020T0400,14.410245,0.5
20231020T0500,14.270246,0.5
20231020T0600,14.220245,0.3
20231020T0700,14.690246,0.7
20231020T0800,15.230246,1.5
20231020T0900,15.510245,1.3
20231020T1000,15.690246,0.9
20231020T1100,15.670245,1
20231020T1200,15.730246,1
20231020T1300,15.760245,0.5
20231020T1400,15.840245,0.1
20231020T1500,15.750245,0
20231020T1600,15.110246,0
20231020T1700,13.870245,0
20231020T1800,13.520246,0.1
20231020T1900,13.440246,0.1
20231020T2000,13.450245,0
20231020T2100,12.950245,0.2
20231020T2200,14.350245,0.3
20231020T2300,14.990245,0.1
20231021T0000,14.400246,0
20231021T0100,14.520246,0
20231021T0200,14.650246,0
20231021T0300,14.860246,0
20231021T0400,14.690246,0
20231021T0500,14.140245,0
20231021T0600,13.570246,0
20231021T0700,13.680245,0
20231021T0800,14.360246,0
20231021T0900,14.870245,0
20231021T1000,15.8102455,0
20231021T1100,16.580246,0
20231021T1200,17.330246,0
20231021T1300,18.000246,0
20231021T1400,17.990246,0
20231021T1500,17.610245,0
20231021T1600,15.900246,0
20231021T1700,15.020246,0
20231021T1800,13.220245,0
20231021T1900,11.610246,0
20231021T2000,10.850245,0
20231021T2100,10.300245,0
20231021T2200,10.550245,0
20231021T2300,10.480246,0
20231022T0000,10.340245,0
20231022T0100,10.180245,0
20231022T0200,9.490245,0
20231022T0300,9.400246,0
20231022T0400,9.390245,0
20231022T0500,9.080245,0
20231022T0600,8.880245,0
20231022T0700,9.990245,0
20231022T0800,12.270246,0
20231022T0900,13.890245,0
20231022T1000,15.170245,0
20231022T1100,16.000246,0
20231022T1200,16.640245,0
20231022T1300,16.970245,0
20231022T1400,16.850245,0
20231022T1500,16.170246,0
20231022T1600,13.950245,0
20231022T1700,11.880245,0
20231022T1800,10.8102455,0
20231022T1900,9.970245,0
20231022T2000,9.350245,0
20231022T2100,8.820246,0
20231022T2200,8.460245,0
20231022T2300,8.330246,0
20231023T0000,8.140245,0
20231023T0100,7.520245,0
20231023T0200,7.3102455,0
20231023T0300,6.9502454,0
20231023T0400,6.8002453,0
20231023T0500,6.940245,0
20231023T0600,7.1802454,0
20231023T0700,8.330246,0
20231023T0800,9.170245,0
20231023T0900,10.170245,0
20231023T1000,10.410245,0.1
20231023T1100,11.170245,0.2
20231023T1200,11.980246,0
20231023T1300,13.040245,0
20231023T1400,13.880245,0
20231023T1500,14.030245,0
20231023T1600,12.610246,0
20231023T1700,11.550245,0
20231023T1800,11.020246,0
20231023T1900,11.190246,0.2
20231023T2000,11.110246,0.1
20231023T2100,10.690246,0.2
20231023T2200,10.960245,0
20231023T2300,10.830245,0
20231024T0000,10.980246,0
20231024T0100,10.890245,0
20231024T0200,10.510245,0.3
20231024T0300,10.340245,0.4
20231024T0400,10.570246,1
20231024T0500,11.040245,0.9
20231024T0600,11.280245,0.9
20231024T0700,11.610246,3.1
20231024T0800,11.890245,2.1
20231024T0900,12.020246,1.5
20231024T1000,12.680245,1.1
20231024T1100,13.270246,0.8
20231024T1200,13.950245,0.6
20231024T1300,14.120245,0.3
20231024T1400,13.850245,0.2
20231024T1500,13.650246,0.1
20231024T1600,13.140245,0
20231024T1700,12.110246,0
20231024T1800,11.670245,0
20231024T1900,11.330245,0
20231024T2000,10.070246,0
20231024T2100,9.880245,0
20231024T2200,9.770246,0
20231024T2300,9.430245,0
20231025T0000,9.240245,0.3
20231025T0100,8.630245,0.2
20231025T0200,8.440246,0
20231025T0300,8.800245,0
20231025T0400,9.170245,0
20231025T0500,9.550245,0
20231025T0600,9.700245,0
20231025T0700,9.970245,0
20231025T0800,11.440246,0
20231025T0900,12.570246,0
20231025T1000,13.8102455,0
20231025T1100,15.110246,0.3
20231025T1200,14.590245,0.8
20231025T1300,14.430245,0.6
20231025T1400,14.860246,1.2
20231025T1500,15.150246,0.2
20231025T1600,15.150246,0.1
20231025T1700,14.860246,0.4
20231025T1800,14.210245,0.6
20231025T1900,13.470245,0.1
20231025T2000,13.050245,0
20231025T2100,12.840245,0
20231025T2200,12.640245,0
20231025T2300,12.370245,0
20231026T0000,12.320246,0
20231026T0100,11.760245,0
20231026T0200,11.760245,0
20231026T0300,12.030245,0
20231026T0400,11.940246,0.3
20231026T0500,11.750245,1.3
20231026T0600,12.000245,1
20231026T0700,12.850245,1.4
20231026T0800,14.190246,0.9
20231026T0900,14.870245,0.3
20231026T1000,15.660245,0
20231026T1100,16.170246,0
20231026T1200,15.930245,0.2
20231026T1300,15.490245,0.3
20231026T1400,14.820246,0.4
20231026T1500,13.950245,0.4
20231026T1600,13.0602455,0.6
20231026T1700,12.130245,0.6
20231026T1800,11.670245,0.7
20231026T1900,11.390245,0.9
20231026T2000,11.070246,1
20231026T2100,10.880245,1
20231026T2200,10.740245,1.1
20231026T2300,10.570246,1.3
20231027T0000,10.330245,1.2
20231027T0100,10.3102455,1.2
20231027T0200,10.300245,1
20231027T0300,10.740245,1.3
20231027T0400,11.270246,1
20231027T0500,11.640245,0.3
20231027T0600,11.670245,0.1
20231027T0700,11.540245,0
20231027T0800,11.940246,0
20231027T0900,11.970245,0
20231027T1000,12.500245,0
20231027T1100,13.200245,0
20231027T1200,13.860246,0
20231027T1300,14.190246,0.5
20231027T1400,14.580245,0
20231027T1500,14.440246,0
20231027T1600,13.0602455,0
20231027T1700,10.880245,0
20231027T1800,11.050245,0
20231027T1900,11.860246,0
